ShowTitle,SeasonDomainId,ShowSeasonId,NetworkDomainId
$#*! My Dad Says,35,9954,53
$#*! My Dad Says,34,9955,53
$#*! My Dad Says,34,9956,53
$#*! My Dad Says,34,9957,53
$#*! My Dad Says,34,9958,53
$#*! My Dad Says,34,9959,53
$#*! My Dad Says,34,9960,53
$#*! My Dad Says,35,10255,53
$#*! My Dad Says,34,10314,53
$#*! My Dad Says,34,10507,53
$#*! My Dad Says,34,10508,53
$#*! My Dad Says,34,10509,53
$#*! My Dad Says,34,10510,53
$#*! My Dad Says,34,10511,53
$#*! My Dad Says,34,10512,53
$#*! My Dad Says,34,10751,53
$#*! My Dad Says,34,10752,53
$#*! My Dad Says,34,10753,53
$#*! My Dad Says,34,10754,53
$#*! My Dad Says,34,10755,53
$#*! My Dad Says,34,10756,53
$#*! My Dad Says,34,10757,53
$#*! My Dad Says,34,10758,53
$#*! My Dad Says,34,10759,53
$#*! My Dad Says,34,10760,53
$#*! My Dad Says,34,10761,53
$#*! My Dad Says,34,10946,53
$#*! My Dad Says,34,10947,53
$#*! My Dad Says,34,10948,53
$#*! My Dad Says,34,10949,53
$#*! My Dad Says,34,10950,53
$#*! My Dad Says,34,10951,53
$#*! My Dad Says,33,11302,53
1/2 Hr Pilot & Series Template,34,11187,67
1/2 Hr Pilot & Series Template,33,11188,67
1/2 Hr Pilot & Series Template,652,12926,67
1/2 Hr Pilot & Series Template,617,12927,67
"100 Prequel, The",883,13869,75
"100 Prequel, The",883,13870,75
"100, The",588,12502,75
"100, The",32,12503,75
"100, The",32,12548,75
"100, The",588,12645,75
"100, The",617,12673,75
"100, The",617,12786,75
"100, The",617,12805,75
"100, The",617,12807,75
"100, The",652,12886,75
"100, The",652,12962,75
"100, The",652,13017,75
"100, The",708,13129,75
"100, The",708,13195,75
"100, The",708,13211,75
"100, The",832,13278,75
"100, The",832,13380,75
"100, The",832,13415,75
"100, The",837,13485,75
"100, The",837,13572,75
"100, The",837,13592,75
"100, The",837,13632,75
"100, The",883,13723,75
"100, The",883,13813,75
"100, The",883,13846,75
11/22/63,652,12835,67
11/22/63,652,12842,734
11/22/63,652,12848,734
11/22/63,652,12972,734
1-555-Accidentes,588,12504,52
1-555-Accidentes,32,12505,52
17 Again,832,13250,67
2 Broke Girls,34,11018,53
2 Broke Girls,33,11106,53
